201.243	35.2	74.1
201.3	35.1564	74.1
201.4	35.151	74.1
201.5	35.1465	74.1
201.6	35.1387	74.1
201.646	35.1	74.1
201.7	35.0532	74.1
201.8	35.0422	74.1
201.843	35	74.1
201.9	34.9457	74.1
201.95	34.9	74.1
202	34.8575	74.1
202.1	34.8413	74.1
202.2	34.8194	74.1
202.273	34.8	74.1
202.3	34.783	74.1
202.33	34.8	74.1
202.4	34.8163	74.1
202.5	34.8194	74.1
202.6	34.8207	74.1
202.7	34.8231	74.1
202.8	34.8414	74.1
202.9	34.8504	74.1
203	34.8795	74.1
203.048	34.9	74.1
203.1	34.9209	74.1
203.2	34.9251	74.1
203.3	34.9492	74.1
203.4	34.969	74.1
203.5	34.9747	74.1
203.6	34.9758	74.1
203.653	35	74.1
203.7	35.0215	74.1
203.8	35.041	74.1
203.9	35.0477	74.1
204	35.0684	74.1
204.1	35.0716	74.1
204.2	35.0716	74.1
204.3	35.0733	74.1
204.369	35.1	74.1
204.4	35.1134	74.1
204.5	35.1198	74.1
204.6	35.1362	74.1
204.7	35.1383	74.1
204.8	35.1416	74.1
204.9	35.1474	74.1
205	35.1712	74.1
205.061	35.2	74.1
205.1	35.2323	74.1
205.2	35.2323	74.1
205.245	35.2	74.1
205.3	35.1572	74.1
205.4	35.1479	74.1
205.5	35.1458	74.1
205.6	35.1447	74.1
205.7	35.1459	74.1
205.8	35.1548	74.1
205.864	35.2	74.1
205.9	35.2222	74.1
206	35.2393	74.1
206.1	35.2445	74.1
206.2	35.2767	74.1
206.228	35.3	74.1
206.3	35.3395	74.1
206.4	35.3449	74.1
206.463	35.4	74.1
206.5	35.4186	74.1
206.6	35.4387	74.1
206.7	35.4393	74.1
206.8	35.4427	74.1
206.9	35.4512	74.1
206.952	35.5	74.1
207	35.5437	74.1
207.057	35.6	74.1
207.1	35.6424	74.1
207.157	35.7	74.1
207.2	35.7229	74.1
207.3	35.7724	74.1
207.357	35.8	74.1
207.4	35.8138	74.1
207.5	35.8222	74.1
207.6	35.8261	74.1
207.7	35.8664	74.1
207.8	35.8694	74.1
207.9	35.8592	74.1
208	35.8535	74.1
208.1	35.8613	74.1
208.2	35.8711	74.1
208.282	35.9	74.1
208.3	35.9038	74.1
208.4	35.9195	74.1
208.5	35.9222	74.1
208.6	35.9265	74.1
208.7	35.9267	74.1
208.8	35.9226	74.1
208.9	35.922	74.1
209	35.9159	74.1
209.048	35.9	74.1
209.1	35.8743	74.1
209.2	35.829	74.1
209.3	35.8198	74.1
209.346	35.8	74.1
209.4	35.7746	74.1
209.5	35.7489	74.1
209.6	35.7347	74.1
209.7	35.7213	74.1
209.8	35.704	74.1
209.816	35.7	74.1
209.9	35.6802	74.1
210	35.6518	74.1
210.1	35.6304	74.1
210.149	35.6	74.1
210.2	35.5724	74.1
210.3	35.5394	74.1
210.381	35.5	74.1
210.4	35.4911	74.1
210.5	35.454	74.1
210.6	35.4078	74.1
210.623	35.4	74.1
210.7	35.3712	74.1
210.8	35.318	74.1
210.842	35.3	74.1
210.9	35.2773	74.1
211	35.2412	74.1
211.1	35.2266	74.1
211.2	35.2186	74.1
211.263	35.2	74.1
211.3	35.1857	74.1
211.4	35.1645	74.1
211.5	35.1344	74.1
211.563	35.1	74.1
211.6	35.0782	74.1
211.7	35.0493	74.1
211.8	35.0223	74.1
211.859	35	74.1
211.9	34.985	74.1
212	34.9705	74.1
212.1	34.9634	74.1
212.2	34.9526	74.1
